category,title,price,img_url,Brand,Material,Body Finish,Application Area,Contry of Origin,IP Rating,Warranty,Mounting System,Height,Diameter,Lamp Type,Length,Width,LED Color (CCT),Dimmable,Voice Control,Location,Cutout Diameter,Wattage,Voltage,Technical Specsheet
chandeliers,ANKUR RAIMOND SPARK BALL CHANDELIER,"₹ 21,500",//www.ankurlighting.com/cdn/shop/products/ankur-raimond-spark-ball-chandelier-ankur-lighting-1.jpg?v=1695132462&width=1250,,,,,,,,,,,,,,,,,,,,,
chandeliers,ANKUR SPACED CRYSTAL BAR LED ROUND CONTEMPORARY CHANDELIER,"₹ 24,500",//www.ankurlighting.com/cdn/shop/products/ankur-spaced-crystal-bar-led-round-contemporary-chandelier-ankur-lighting-1.jpg?v=1695132415&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),China,IP 20,12 Months,,,,,,,,,,,,,,
chandeliers,ANKUR HELIX MODERN GLASS AND METAL CHANDELIER,"₹ 24,500",//www.ankurlighting.com/cdn/shop/products/ankur-helix-modern-glass-and-metal-chandelier-ankur-lighting-1.png?v=1695131964&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),China,IP 20,12 Months,Surface,300MM (0.98 feet.),600MM (1.97 feet.),LED SMD,,,,,,,,,,
chandeliers,ANKUR SOLAR SYSTEM LIGHTS CHANDELIER,"₹ 21,000",//www.ankurlighting.com/cdn/shop/products/ankur-solar-system-lights-chandelier-ankur-lighting-1.jpg?v=1695131261&width=1100,Ankur Lighting,Metal,Black and Gold,Indoor (Dry Rated),,,12 Months,Surface,1200MM (3.94 feet.),,E27,,,,,,,,,,
chandeliers,Ankur Maria 18 Lamp Italian Decorative Chandelier,"₹ 88,000",//www.ankurlighting.com/cdn/shop/files/1_1c8ac0da-5606-4657-9b0a-8a5ca7443628.jpg?v=1718220568&width=1250,Ankur Lighting,,,Indoor (Dry Rated),China,,12 Months,Surface,950MM (3.1 feet),950MM (3.1 feet),G9,700MM (2.3 feet.),500MM (1.64 feet.),,,,,,,,
chandeliers,ANKUR MENSH MODERN MESH NET CONTEMPORARY CHANDELIER,"₹ 27,800",//www.ankurlighting.com/cdn/shop/files/H36e6d9db2f9d4660ba3f6076dbc5b486e.jpg?v=1701155063&width=1250,Ankur Lighting,Metal,Chrome,Indoor (Dry Rated),China,,12 Months,Surface,,800MM (2.62feet.),E27,,,,,,,,,,
chandeliers,ANKUR RECTANGLE BLOOM CONTEMPORARY CRYSTAL CHANDELIER,"₹ 68,500",//www.ankurlighting.com/cdn/shop/files/3_ad650248-c524-4ce5-8d19-182c941fb5c7.jpg?v=1718221123&width=1250,,,Gold + Amber,Indoor (Dry Rated),China,,12 Months,Surface,,1600MM (5 feet.),G9,,,3000K,,,,,,,
chandeliers,ANKUR BELLE LUXURY 8 LIGHT MULTICOLOUR HANDMADE CHANDELIER,"₹ 98,500",//www.ankurlighting.com/cdn/shop/files/0fa7a49a6d0915ae5eb6d941d0af4a9652990aa239e4834de90b3e9594e5ae71209f4cba6e5ba5f30d00b7e1f1d9bdb8fcc72df2c579f6ff58c5a38f77e4d87c.jpg?v=1698580611&width=1757,,,,Indoor (Dry Rated),India,,12 Months,,,,E27,,,,,,,,,,
chandeliers,ANKUR ROUND BLOOM CONTEMPORARY CRYSTAL CHANDELIER,"₹ 28,800",//www.ankurlighting.com/cdn/shop/files/Product185_6d923bb0-f536-4efc-b56f-12a4caf15eb1.jpg?v=1700635248&width=1250,,,Black + Chrome,Indoor (Dry Rated),China,,12 Months,Surface,,800MM (2.62feet.),G9,,,3000K,,,,,,,
chandeliers,ANKUR GILDEDGLOW FRENCH FLOWER CRYSTAL ART GLASS ROUND CHANDELIER,"₹ 39,500",//www.ankurlighting.com/cdn/shop/files/ankur-gildedglow-french-flower-crystal-art-glass-round-chandelier-ankur-lighting-1.jpg?v=1695133142&width=1250,Ankur Lighting,Glass,Gold,Indoor (Dry Rated),China,,12 Months,Surface,,800MM (2.62 feet),E27,,,3000K,,,,,,,
